Antler Nordic Residency | Accelerator | Stockholm/Oslo/Copenhagen/Helsinki/Tallinn | 100k initial + up to 300k follow-on | Day-zero pre-seed, sector-agnostic, solo founders welcome | Backs marketplaces and solo founders without warm intros — Chairmatch fits service-marketplace thesis | Backs healthtech/care plays at day-zero — Alltagsengel iOS+Android traction matches | Apply form on antler.co/apply (always-open residency since 2025) | Closed Nordic Fund II at $100M+ in 2025; always-open residency Feb 2026; invested $5.6M across 14 AI startups Dec 2025 | Requires residency participation (in-person sprint)
Speedinvest | VC | Vienna/Munich/Berlin/Paris/London | 500k-3M pre-seed/seed | Pre-seed to seed; marketplaces and healthtech are explicit verticals | Marketplace vertical with FJ Labs partnership — direct fit | Health vertical led by Daria Saharova (Nilo Health, 9amHealth, hi.health) | speedinvest.com/contact; Mathias Ockenfels marketplaces, Daria Saharova health | €30M continuation fund 2025; €1B+ AUM; 400+ portfolio | Very competitive cold inbound funnel
Cherry Ventures | VC | Berlin/London/Stockholm | 500k-5M (sweet spot 1.5M) | Pre-seed to Series A, B2B software, fintech, health tech, consumer | Marketplace track record (Flix, Auto1, Flaschenpost) | Healthtech in stated focus | hello@cherry.vc / partners on cherry.vc | 130+ portfolio; Tacto, Proxima Fusion, Dash0 2024-25 | Usually larger pre-seed checks
Calm/Storm Ventures | Micro-VC | Vienna, Austria | 50k-500k (avg 500k Fund II) | Most active European healthtech investor; early/pre-seed | n/a | Perfect fit: pre-seed care-tech, DACH, Alltagshilfe + Pflege | hello@calmstorm.vc / partners on calmstorm.vc | €30M Fund II final close 2025; 9 new investments LTM Feb 2026 | Healthtech only — Chairmatch n/a
Atlantic Labs | VC | Berlin, Germany | 25k-5M (leads pre-seed) | Pre-seed Europe; digital health, future of work, mobility, vertical SaaS | Future of work + marketplace overlap | Digital health is explicit vertical | hello@atlantic.vc / partners on atlantic.vc | 124 portfolio, 7 new in LTM Oct 2025 | Increasingly AI/deep-tech themed
Picus Capital | VC | Munich/Berlin/NY/London | 400k-3M (sweet spot 1.5M) | Pre-seed to Series A; healthcare, HR, real estate, e-commerce, logistics | Real estate marketplace adjacency for Chairmatch | Healthcare vertical explicit | hello@picuscap.com / partners on picuscap.com | €125M+ deployed 2025; €150M institutional from Carlyle AlpInvest Dec 2025 | Very fast process — high bar
10x Founders | Micro-VC | Munich, Germany | 500k-2.5M | Pre-seed/seed European tech; software-heavy | Tech-enabled marketplace OK if software differentiation strong | SaaS-leaning — health SaaS layer needed | hello@10xfounders.com / partners on 10xfounders.com | 12 investments in 2025; 67 total portfolio | Less marketplace-friendly than peer funds
Vorwerk Ventures | VC | Berlin, Germany | 1M-5M (seed-leading) | Consumer, food, health, climate; €400M AUM | Consumer marketplace track record (Mädchenflohmarkt) | Health is explicit vertical (aiomics 2025) | hello@vorwerkventures.com | 2025 investments: aiomics (health), Rebike follow-on | Seed-stage leader — pre-seed rare
Capnamic | VC | Cologne/Berlin | 500k-3M pre-seed/seed | B2B SaaS DACH-focused, Pre-Seed to Series A | n/a | Vertical SaaS for care possible angle | partners on capnamic.com | $215M fund close 2024; latest Freshflow May 2025 | B2B SaaS focus
Entrepreneurs First Berlin | Accelerator | Berlin, Germany | €2k/mo + €90k for 10% at Launch | Talent-first pre-seed accelerator; sector-agnostic | Solo founders fit; marketplace welcome | Care-tech welcome | apply on joinef.com/locations/berlin | Cohorts active through Oct 2025 / Jan 2026 | Need to commit to cohort and find co-founder — Yusuf already runs solo
Founderful | Micro-VC | Zurich, Switzerland | 100k-250k initial | Swiss pre-seed lead; B2B, AI, marketplaces, brand-driven | Marketplace explicit in thesis | Healthtech possible | hello@founderful.com / partners on founderful.com | $140M Fund II actively deploying 2025; 8 investments incl. Anthropos | Strong Swiss-tech bias
Nina Capital | Micro-VC | Barcelona, Spain | 250k-1.5M | Pure healthtech VC; Europe + US + Israel; pre-seed to Series A | n/a | Clinical pathways and tech-enabled care services is exact Alltagsengel fit | hello@nina.capital / partners on nina.capital | €50M Fund III first close Feb 2025; backed Sonar Mental Health | Healthtech only — Chairmatch not a fit
Hansi Hansmann / Hansmen Group | Angel | Vienna, Austria | 50k-300k typical | Austria/Germany/UK/Spain angel; health-industry and internet | Internet marketplace generic fit | Direct fit: backed Vienna healthtech one100 in 2025 | LinkedIn DM (linkedin.com/in/hansihansmann) or hansmengroup.com | one100 mid-six-figure cheque 2025; 100+ direct investments, 50+ active | Geographic bias to AT-adjacent — Frankfurt fine
Mato Peric | Angel | Dubai (Germany-focused) | 5k-50k (sweet spot 25k) | Ex-Rocket Internet ops; pre-seed/seed enterprise SaaS, consumer, healthtech | Rocket Internet DNA understands marketplaces deeply | Healthtech explicit in mandate | LinkedIn DM / matoperic.com | Latest investment FARO Jan 2025; 23 total investments | Small cheques — needs to be in a syndicate
Lukasz Gadowski / Team Global | Angel + family office | Berlin, Germany | 25k-500k angel | Consumer internet, marketplaces, mobility | Direct marketplace pedigree (Delivery Hero, Mister Spex, Wolt LP) | n/a | LinkedIn DM | Active 2025 via Team Global; long marketplace track record | Increasingly hard-tech/aero — service marketplaces still possible
Iterative | Accelerator | Singapore | up to $500k for 10-15% | YC-style SEA accelerator; sector-agnostic incl. marketplaces | Marketplace founder DNA strong (Propseller, Fluid in portfolio) | Care-tech welcome | apply on iterative.vc/apply | S25 and W26 demo days; 24 investments in 2025 | SEA-focused — would need SEA expansion narrative
Saison Capital | Micro-VC | Singapore | 250k-1M pre-seed/seed | Sector-agnostic SEA + India; explicitly marketplaces and platforms | Marketplace + financial-services-for-underbanked DNA | Underbanked/care services adjacency | hello@saisoncapital.com | 79 portfolio; consistently active in pre-seed marketplace deals | SEA/India focus
Quest Ventures | VC | Singapore | 100k-1M early-stage | Marketplaces is named focus sector across Asia digital economy | Marketplace pedigree (Carousell, Carro, 99.co) | Health-services marketplace possible | hello@questventures.com | 150+ portfolio by end 2025; consistently active | Asia-only HQ requirement
Earlybird Health | VC | Berlin/Munich | 500k-3M | Biotech, medtech, digital health early-stage | n/a | Digital health fits Alltagsengel if §45b reimbursement framed as defensible moat | partners on health.earlybird.com | 4 Earlybird Health new investments 2024; 7 YTD May 2026 | Healthcare only — Chairmatch out of scope
Project A Ventures | VC | Berlin, Germany | 1M-8M (Fund V) | Pre-seed to seed; defence, fintech, AI, supply chain | Marketplace track record (Sennder) | Digital health in stated areas | hello@project-a.com / partners on project-a.com | €325M Fund V announced 2025; 15-20 investments/yr | Cheque size starts at €1M — competitive
TQ Ventures | VC | Berlin, Germany | 500k-2M pre-seed | Pre-seed consumer + B2B; founder-led | Consumer marketplace fit | Consumer-health adjacency | partners on tq.ventures | Active 2025 deployments | Less marketplace track record than peers
468 Capital | VC | Berlin/Madrid/SF | 250k-2M pre-seed | AI/Automation, infra, climate, consumer | Consumer marketplace possible | n/a | hello@468cap.com / partners on 468cap.com | 99 portfolio, 13 new in LTM Nov 2025 | AI-heavy thesis
Visionaries Tomorrow Fund | Micro-VC | Berlin/London | 500k-3M | Deep-tech/climate; health, transportation, mobility | n/a | Health + elderly mobility possible if framed as deep-tech | partners on tomorrow.vc | €50M Tomorrow Fund deploying | Deep-tech/science thesis
